reviewStatus,compilerDecision,compilerNotes,draftDocumentNumber,compilerNumber,chapter,date,headingDraft,title,participants,releaseStatus,accessRestriction,pageCount,naid,catalogDerivedSourceNote,sourceNoteProvenance,currentSourceNote,sourceNoteGaps,scheduleEvidence,catalogUrl,pdfUrl
,,,21,3.004,Turkey,1989-08-01,Memorandum of Telephone Conversation,"Telephone Call to President Kenan Evren of Turkey, August 1, 1989",George H. W. Bush; Kenan Evren,Full,Unrestricted,4,428080149,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Kenan Evren of Turkey, August 1, 1989.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080149; PDF extent: 4 pages; digital object: 1989-08-01--Evren.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Kenan Evren of Turkey, August 1, 1989.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 8/1/1989 - NAID 415889984 || [Presidential Daily Backup] 8/1/1989 - NAID 415889985,https://catalog.archives.gov/id/428080149,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-01--Evren.pdf
,,,22,3.005,Turkey,1989-08-01,Memorandum of Telephone Conversation,"Telephone Call to Prime Minister Turgut Ozal of Turkey, August 1, 1989",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080153,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Turgut Ozal of Turkey, August 1, 1989.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080153; PDF extent: 3 pages; digital object: 1989-08-01--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Turgut Ozal of Turkey, August 1, 1989.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 8/1/1989 - NAID 415889984 || [Presidential Daily Backup] 8/1/1989 - NAID 415889985,https://catalog.archives.gov/id/428080153,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-08-01--Ozal.pdf
,,,23,3.006,Turkey,1989-10-02,Memorandum of Telephone Conversation,"Telephone Conversation with Turgut Ozal, Prime Minister of Republic of Turkey",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080269,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Turgut Ozal, Prime Minister of Republic of Turkey.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080269; PDF extent: 3 pages; digital object: 1989-10-02--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Turgut Ozal, Prime Minister of Republic of Turkey.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 10/2/1989 - NAID 415890108 || [Presidential Daily Backup] 10/2/1989 - NAID 415890109,https://catalog.archives.gov/id/428080269,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-10-02--Ozal.pdf
,,,24,3.007,Turkey,1989-11-27,Memorandum of Telephone Conversation,"Telephone Call to President Turgut Ozal of Turkey, November 27, 1989",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080363,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, November 27, 1989.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080363; PDF extent: 3 pages; digital object: 1989-11-27--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, November 27, 1989.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.007 / Schedule NAID 415890220)",[Presidential Daily Diary] 11/27/1989 [EMPTY] - NAID 415890220 || [Presidential Daily Backup] 11/27/1989 - NAID 415890221,https://catalog.archives.gov/id/428080363,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Ozal.pdf
,,,25,3.008,Turkey,1990-01-18,Memorandum of Conversation,"Meeting With President Turgut Ozal of Turkey, January 18, 1990 (1 of 2)",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428080435,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting With President Turgut Ozal of Turkey, January 18, 1990 (1 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080435; PDF extent: 5 pages; digital object: 1990-01-18--Ozal-1.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting With President Turgut Ozal of Turkey, January 18, 1990 (1 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.008 / Schedule NAID 415890324)",[Presidential Daily Diary] 1/18/1990 [EMPTY] - NAID 415890324 || [Presidential Daily Backup] 1/18/1990 - NAID 415890325,https://catalog.archives.gov/id/428080435,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-01-18--Ozal-1.pdf
,,,26,3.009,Turkey,1990-01-18,Memorandum of Conversation,"Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2)",George H. W. Bush; Turgut Ozal,Partial,Restricted - Partly,8,428080437,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428080437; PDF extent: 8 pages; digital object: 1990-01-18--Ozal-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2).","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection | Resolve data-quality issue(s): Schedule title caveat (Doc 3.009 / Schedule NAID 415890324)",[Presidential Daily Diary] 1/18/1990 [EMPTY] - NAID 415890324 || [Presidential Daily Backup] 1/18/1990 - NAID 415890325,https://catalog.archives.gov/id/428080437,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-01-18--Ozal-2.pdf
,,,27,3.010,Turkey,1990-07-26,Memorandum of Telephone Conversation,"Telephone Call to President Turgut Ozal of Turkey, July 26, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080861,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, July 26, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080861; PDF extent: 3 pages; digital object: 1990-07-26--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, July 26, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Backup] 7/26/1990 - NAID 415890703,https://catalog.archives.gov/id/428080861,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-07-26--Ozal.pdf
,,,28,3.011,Turkey,1990-08-03,Memorandum of Telephone Conversation,"Telephone Call to President Turgut Ozal of Turkey, August 3, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428080881,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, August 3, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080881; PDF extent: 4 pages; digital object: 1990-08-03--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, August 3, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 8/3/1990 - NAID 415890718 || [Presidential Daily Backup] 8/3/1990 - NAID 415890719,https://catalog.archives.gov/id/428080881,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-03--Ozal.pdf
,,,29,3.012,Turkey,1990-08-04,Memorandum of Telephone Conversation,"Telephone Call to President Turgut Ozal of Turkey, August 4, 1990",George H. W. Bush; Turgut Ozal,Partial,Restricted - Partly,2,428080891,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, August 4, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428080891; PDF extent: 2 pages; digital object: 1990-08-04--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, August 4, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection",[Presidential Daily Diary] 8/4/1990 - NAID 415890720 || [Presidential Daily Backup] 8/4/1990 - NAID 415890721,https://catalog.archives.gov/id/428080891,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-04--Ozal.pdf
,,,30,3.013,Turkey,1990-08-05,Memorandum of Telephone Conversation,"Telcon with President Ozal of Turkey, August 5, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428080899,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey, August 5, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080899; PDF extent: 4 pages; digital object: 1990-08-05--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telcon with President Ozal of Turkey, August 5, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 8/5/1990 - NAID 415890722 || [Presidential Daily Backup] 8/5/1990 - NAID 415890723,https://catalog.archives.gov/id/428080899,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-05--Ozal.pdf
,,,31,3.014,Turkey,1990-08-08,Memorandum of Telephone Conversation,"Telephone Call from President Turgut Ozal of Turkey, August 8, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,2,428080911,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from President Turgut Ozal of Turkey, August 8, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080911; PDF extent: 2 pages; digital object: 1990-08-08--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from President Turgut Ozal of Turkey, August 8, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.014 / Schedule NAID 415890728)",[Presidential Daily Diary] 8/8/1990 [EMPTY] - NAID 415890728 || [Presidential Daily Backup] 8/8/1990 - NAID 415890729,https://catalog.archives.gov/id/428080911,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-08--Ozal.pdf
,,,32,3.015,Turkey,1990-08-14,Memorandum of Telephone Conversation,"Telephone Call from President Turgut Ozal of Turkey, August 14, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428080953,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from President Turgut Ozal of Turkey, August 14, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080953; PDF extent: 3 pages; digital object: 1990-08-14--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from President Turgut Ozal of Turkey, August 14, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 8/14/1990 - NAID 415890740 || [Presidential Daily Backup] 8/14/1990 - NAID 415890741,https://catalog.archives.gov/id/428080953,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-14--Ozal.pdf
,,,33,3.016,Turkey,1990-08-16,Editorial Note / Document Search Pending,"Telephone Call with Turgut Ozal, August 16, 1990",George H. W. Bush; Turgut Ozal,Marker / no memorandum listed,Unrestricted,2,428080933,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call with Turgut Ozal, August 16, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428080933; PDF extent: 2 pages; digital object: 1990-08-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call with Turgut Ozal, August 16, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve release/marker status before final selection | Resolve data-quality issue(s): Schedule title caveat (Doc 3.016 / Schedule NAID 415890744)",[Presidential Daily Diary] 8/16/1990 [EMPTY] - NAID 415890744 || [Presidential Daily Backup] 8/16/1990 - NAID 415890745,https://catalog.archives.gov/id/428080933,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-16--Ozal.pdf
,,,34,3.017,Turkey,1990-08-20,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, August 20, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428080959,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, August 20, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080959; PDF extent: 4 pages; digital object: 1990-08-20--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, August 20, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.017 / Schedule NAID 415890752)",[Presidential Daily Diary] 8/20/1990 [EMPTY] - NAID 415890752 || [Presidential Daily Backup] 8/20/1990 - NAID 415890753,https://catalog.archives.gov/id/428080959,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-20--Ozal.pdf
,,,35,3.018,Turkey,1990-08-30,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, August 30, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428080999,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, August 30, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428080999; PDF extent: 4 pages; digital object: 1990-08-30--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, August 30, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.018 / Schedule NAID 415890772)",[Presidential Daily Diary] 8/30/1990 [EMPTY] - NAID 415890772 || [Presidential Daily Backup] 8/30/1990 - NAID 415890773,https://catalog.archives.gov/id/428080999,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-30--Ozal.pdf
,,,36,3.019,Turkey,1990-09-06,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, September 6, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081021,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, September 6, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081021; PDF extent: 4 pages; digital object: 1990-09-06--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, September 6, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.019 / Schedule NAID 415890786)",[Presidential Daily Diary] 9/6/1990 [EMPTY] - NAID 415890786 || [Presidential Daily Backup] 9/6/1990 - NAID 415890787,https://catalog.archives.gov/id/428081021,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-09-06--Ozal.pdf
,,,37,3.020,Turkey,1990-09-10,Memorandum of Telephone Conversation,"Telephone Call to President Turgut Ozal of Turkey, September 10, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,3,428081055,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, September 10, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081055; PDF extent: 3 pages; digital object: 1990-09-10--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, September 10, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 9/10/1990 - NAID 415890794 || [Presidential Daily Backup] 9/10/1990 - NAID 415890795,https://catalog.archives.gov/id/428081055,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-09-10--Ozal.pdf
,,,38,3.021,Turkey,1990-09-25,Memorandum of Conversation,"Meeting with President Ozal of Turkey, September 25, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,7,428081035,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Ozal of Turkey, September 25, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081035; PDF extent: 7 pages; digital object: 1990-09-25--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Ozal of Turkey, September 25, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 9/25/1990 - NAID 415890824 || [Presidential Daily Backup] 9/25/1990 - NAID 415890825,https://catalog.archives.gov/id/428081035,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-09-25--Ozal.pdf
,,,39,3.022,Turkey,1990-10-24,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of' Turkey, October 24, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,5,428081155,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of' Turkey, October 24, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081155; PDF extent: 5 pages; digital object: 1990-10-24--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of' Turkey, October 24, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 10/24/1990 - NAID 415890884 || [Presidential Daily Backup] 10/24/1990 - NAID 415890885,https://catalog.archives.gov/id/428081155,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-10-24--Ozal.pdf
,,,40,3.023,Turkey,1990-10-31,Memorandum of Telephone Conversation,"Telephone Conversation with President Turgut Ozal of Turkey, October 31, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,4,428081169,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, October 31, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081169; PDF extent: 4 pages; digital object: 1990-10-31--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with President Turgut Ozal of Turkey, October 31, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text",[Presidential Daily Diary] 10/31/1990 - NAID 415890898 || [Presidential Daily Backup] 10/31/1990 - NAID 415890899,https://catalog.archives.gov/id/428081169,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-10-31--Ozal.pdf
,,,41,3.024,Turkey,1990-11-20,Memorandum of Conversation,"Meeting with President Ozal of Turkey, November 20, 1990",George H. W. Bush; Turgut Ozal,Full,Unrestricted,6,428081195,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Ozal of Turkey, November 20, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Full; Catalog access: Unrestricted; NAID 428081195; PDF extent: 6 pages; digital object: 1990-11-20--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Ozal of Turkey, November 20, 1990.","Confirm classification marking from PDF | Confirm place/time and drafting/clearance details from text | Keep Catalog release/access/NAID in provenance fields, not final FRUS source-note text | Resolve data-quality issue(s): Schedule title caveat (Doc 3.024 / Schedule NAID 415890938)",[Presidential Daily Diary] 11/20/1990 [EMPTY] - NAID 415890938 || [Presidential Daily Backup] 11/20/1990 - NAID 415890939,https://catalog.archives.gov/id/428081195,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-20--Ozal.pdf
